,,correct_recognition_rate_L1,correct_recognition_rate_L2,correct_recognition_rate_cosine
LDA,10,49.29906542056075,52.80373831775701,54.20560747663551
LDA,40,72.42990654205607,71.49532710280374,79.2056074766355
LDA,60,71.49532710280374,75.0,82.00934579439252
LDA,80,71.26168224299066,75.23364485981308,82.2429906542056
LDA,90,69.1588785046729,75.23364485981308,82.2429906542056
LDA,106,70.56074766355141,75.0,83.64485981308411
LDA,No Dimensionality Reduction,72.89719626168224,65.65420560747664,66.1214953271028
